hospcode|hospname
8899021500001|โรงพยาบาลค่ายพิชัยดาบหัก
8899021200003|โรงพยาบาลสมเด็จพระนางเจ้าสิริกิติ์
8899021200001|โรงพยาบาลทหารเรือกรุงเทพ
111020400029|กองทัพบก โรงพยาบาลพระมงกุฎเกล้า
113020400030|กองทัพบก โรงพยาบาลอานันทมหิดล
8899020600012|โรงพยาบาลภูมิพลอดุลยเดช กรมแพทย์ทหารอากาศ
8899020500001|กองทัพเรือ โรงพยาบาลอาภากรเกียรติวงศ์
8899021300042|โรงพยาบาลทหารผ่านศึก
111150700018|กรมราชทัณฑ์ ทัณฑสถานโรงพยาบาลราชทัณฑ์
8899210300019|กรมการแพทย์ โรงพยาบาลธัญญารักษ์อุดรธานี
8899210300004|โรงพยาบาลธัญญารักษ์เชียงใหม่
8899210300001|โรงพยาบาลธัญญารักษ์ขอนแก่น
8899210300006|โรงพยาบาลมหาวชิราลงกรณธัญบุรี
8899210300013|โรงพยาบาลสมเด็จพระสังฆราชญาณสังวรเพื่อผู้สูงอายุ จังหวัดชลบุรี
8899210300007|โรงพยาบาลมะเร็งชลบุรี
8899210300008|โรงพยาบาลมะเร็งลพบุรี
8899210300011|โรงพยาบาลมะเร็งอุดรธานี
8899210300009|โรงพยาบาลมะเร็งลำปาง
8899210300003|โรงพยาบาลธัญญารักษ์สงขลา
114210300003|กรมการแพทย์ โรงพยาบาลนพรัตนราชธานี
8899210300010|โรงพยาบาลมะเร็งสุราษฎร์ธานี
8899210300002|โรงพยาบาลธัญญารักษ์ปัตตานี
114210300023|กรมการแพทย์ โรงพยาบาลประสาทจังหวัดเชียงใหม่
8899210300015|โรงพยาบาลโรคผิวหนังเขตร้อนภาคใต้ จังหวัดตรัง
8899210300012|โรงพยาบาลมะเร็งอุบลราชธานี
114210300006|กรมการแพทย์ โรงพยาบาลเลิดสิน
114210300007|กรมการแพทย์ โรงพยาบาลสงฆ์
114210300005|กรมการแพทย์ โรงพยาบาลราชวิถี
114210300004|กรมการแพทย์ โรงพยาบาลเมตตาประชารักษ์ (วัดไร่ขิง)
8899210300018|โรงพยาบาลประสาทเชียงใหม่
8899210300005|โรงพยาบาลธัญญารักษ์แม่ฮ่องสอน
114210800031|กรมสุขภาพจิต โรงพยาบาลจิตเวชนครสวรรค์ราชนครินทร์
114210800036|กรมสุขภาพจิต โรงพยาบาลจิตเวชสงขลาราชนครินทร์
114210800037|กรมสุขภาพจิต โรงพยาบาลยุวประสาทไวทโยปถัมภ์
114210800032|กรมสุขภาพจิต โรงพยาบาลจิตเวชนครราชสีมาราชนครินทร์
114210800033|กรมสุขภาพจิต โรงพยาบาลจิตเวชนครพนมราชนครินทร์
114210800027|กรมสุขภาพจิต โรงพยาบาลสวนปรุง
114210800028|กรมสุขภาพจิต โรงพยาบาลพระศรีมหาโพธิ์
114210800029|กรมสุขภาพจิต โรงพยาบาลสวนสราญรมย์
114210800034|กรมสุขภาพจิต โรงพยาบาลจิตเวชเลยราชนครินทร์
114210800030|กรมสุขภาพจิต โรงพยาบาลจิตเวชขอนแก่นราชนครินทร์
113210800009|กรมสุขภาพจิต โรงพยาบาลศรีธัญญา
114210800035|กรมสุขภาพจิต โรงพยาบาลจิตเวชสระแก้วราชนครินทร์
8899210205983|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดอนนาลุ่ม ตำบลหนองขนาน จังหวัดเพชรบุรี
8899210207197|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปากแพรก จังหวัดระยอง
8899210208399|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตรับ จังหวัดสงขลา
8899210209622|โรงพยาบาลส่งเสริมสุขภาพตำบลสระทอง ตำบลแนงมุด จังหวัดสุรินทร์
8899210200361|โรงพยาบาลสนามชัยเขต จังหวัดฉะเชิงเทรา
8899210201415|โรงพยาบาลส่งเสริมสุขภาพตำบลโคกสำราญ จังหวัดขอนแก่น
8899210202643|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ปะหลวง ตำบลแม่ปะ จังหวัดลำปาง
8899210203847|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเคี่ยมงาม ตำบลบ้านลำนาว จังหวัดนครศรีธรรมราช
8899210205060|โรงพยาบาลส่งเสริมสุขภาพตำบลลาดตะเคียน จังหวัดปราจีนบุรี
8899210206279|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองนกปีกกา ตำบลโป่งแดง จังหวัดตาก
8899210207502|โรงพยาบาลส่งเสริมสุขภาพตำบลมะนาวหวาน จังหวัดลพบุรี
8899210208705|โรงพยาบาลส่งเสริมสุขภาพตำบลเขาสิงห์โต ตำบลบ้านแก้ง จังหวัดสระแก้ว
8899210209921|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนงาม จังหวัดอำนาจเจริญ
8899210210638|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเหมือดแอ่ ตำบลขามป้อม จังหวัดอุบลราชธานี
8899210200502|โรงพยาบาลบ้านแพง จังหวัดนครพนม
8899210201720|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองขอน ตำบลคมบาง จังหวัดจันทบุรี
8899210202942|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านฆ้อ จังหวัดตราด
8899210204152|โรงพยาบาลส่งเสริมสุขภาพตำบลหนองคัน ตำบลบุ่งคล้า จังหวัดเพชรบูรณ์
8899210205377|โรงพยาบาลส่งเสริมสุขภาพตำบลสนับทึบ จังหวัดพระนครศรีอยุธยา
8899210206585|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านภูแผงม้า ตำบลนิคมคำสร้อย จังหวัดมุกดาหาร
8899210207800|โรงพยาบาลส่งเสริมสุขภาพตำบลน้ำเย็น จังหวัดเลย
8899210209012|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโป่ง จังหวัดเชียงราย
8899210210228|โรงพยาบาลส่งเสริมสุขภาพตำบลโกสัมพี ตำบลโกสัมพี จังหวัดกำแพงเพชร
8899210200827|โรงพยาบาลย่านตาขาว จังหวัดตรัง
8899210202031|โรงพยาบาลส่งเสริมสุขภาพตำบลวังไก่เถื่อน จังหวัดชัยนาท
8899210203251|โรงพยาบาลส่งเสริมสุขภาพตำบลรางพิกุล จังหวัดนครปฐม
8899210204462|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองอ้อ จังหวัดพิษณุโลก
8899210205678|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหัวหรั่ง  ตำบลชะรัด จังหวัดพัทลุง
8899210206890|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านข่าใหญ่   ตำบลหนองผือ จังหวัดร้อยเอ็ด
8899210208106|โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหลักหิน ตำบลบักดอง จังหวัดศรีสะเกษ
